county,week,week number,Examination Gloves,Viral Testing Media,Swabs,Other / None of the above,Cleaning Supplies,Surgical or Examination Gowns,Wipes,Shoe Covers,Surgical Masks,Face Shields (Disposable),Hand Sanitizers,Pharmaceuticals,Cloth Masks,Lab Supplies,Coveralls (Hospitals or EMS),Medical Equipment,N-95 Respirators,KN95 Respirators,Test Kits,Sample Collecting Kits,Goggles,Lab Kit,Body Bags,Personnel,Beds/Cots,Ventilators,Lab Platform,Fit Testing Supplies,Bedding Accessories
['Napa'],2021-02-27 to 2021-03-05,1,[27834800.0],[81592.0],[126000.0],[153363.0],[0.0],[663880.0],[77000.0],[0.0],[5713400.0],[255976.0],[1303890.0],[378.0],[1401533.0],[0.0],[0.0],[364.0],[2108428.0],[116060.0],[85120.0],[152600.0],[23800.0],[0.0],[0.0],[91.0],[0.0],[105.0],[0.0],[0.0],[0.0]
['Ventura'],2021-02-27 to 2021-03-05,1,[21118300.0],[874328.0],[1582000.0],[68292.0],[0.0],[3507350.0],[1513120.0],[0.0],[69882750.0],[2677500.0],[600425.0],[5635.0],[4015564.0],[0.0],[35280.0],[285320.0],[15927240.0],[371140.0],[201600.0],[797650.0],[49700.0],[0.0],[0.0],[455.0],[336.0],[350.0],[0.0],[595.0],[0.0]
['El Dorado'],2021-02-27 to 2021-03-05,1,[9198000.0],[26600.0],[49000.0],[126987.0],[0.0],[206220.0],[396480.0],[14000.0],[3534300.0],[129696.0],[106036.0],[0.0],[836500.0],[0.0],[1750.0],[71350.0],[306180.0],[88760.0],[300160.0],[102900.0],[20300.0],[0.0],[0.0],[168.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Placer'],2021-02-27 to 2021-03-05,1,[13235000.0],[1083824.0],[1281000.0],[11732.0],[0.0],[2644950.0],[1266800.0],[350000.0],[25737600.0],[827400.0],[682416.0],[101983.0],[2423120.0],[0.0],[15260.0],[0.0],[3726184.0],[1460620.0],[707840.0],[660800.0],[3656800.0],[0.0],[0.0],[77.0],[0.0],[0.0],[0.0],[98.0],[0.0]
['Contra Costa'],2021-02-27 to 2021-03-05,1,[28627900.0],[2875817.0],[2984100.0],[736087.0],[3570.0],[8846222.0],[29580040.0],[14000.0],[20207600.0],[1233736.0],[1659644.0],[3248.0],[3866212.0],[0.0],[26000.0],[203088.0],[17500630.0],[1294020.0],[1560370.0],[448700.0],[50400.0],[0.0],[0.0],[588.0],[0.0],[175.0],[0.0],[0.0],[0.0]
['Colusa'],2021-02-27 to 2021-03-05,1,[9688000.0],[36624.0],[35000.0],[70007.0],[0.0],[11592.0],[43680.0],[0.0],[9548000.0],[98448.0],[151403.0],[0.0],[342965.0],[0.0],[0.0],[19600.0],[497420.0],[0.0],[66220.0],[350.0],[11200.0],[0.0],[0.0],[14.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Sonoma'],2021-02-27 to 2021-03-05,1,[5986400.0],[1142519.0],[1547000.0],[1204196.0],[0.0],[740320.0],[434896.0],[0.0],[16956100.0],[812000.0],[395598.0],[1981.0],[3396120.0],[0.0],[106330.0],[113491.0],[6258700.0],[222180.0],[1082560.0],[890400.0],[76300.0],[0.0],[0.0],[1827.0],[0.0],[0.0],[0.0],[70.0],[0.0]
['Amador'],2021-02-27 to 2021-03-05,1,[931000.0],[33712.0],[98007.0],[10605.0],[210.0],[188300.0],[0.0],[0.0],[1456000.0],[120176.0],[54096.0],[1435.0],[198744.0],[0.0],[7000.0],[42000.0],[1371440.0],[44100.0],[40901.0],[7000.0],[70000.0],[0.0],[0.0],[35.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Mono'],2021-02-27 to 2021-03-05,1,[1627500.0],[51170.0],[147007.0],[70700.0],[84.0],[65058.0],[60200.0],[33250.0],[970200.0],[43876.0],[85022.0],[0.0],[72100.0],[0.0],[378.0],[0.0],[395500.0],[42280.0],[98000.0],[0.0],[10500.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Shasta'],2021-02-27 to 2021-03-05,1,[1253000.0],[178416.0],[233100.0],[48524.0],[0.0],[143304.0],[73920.0],[0.0],[5053300.0],[155232.0],[196350.0],[231.0],[801444.0],[0.0],[0.0],[392.0],[480004.0],[0.0],[622720.0],[114800.0],[10500.0],[0.0],[0.0],[175.0],[0.0],[0.0],[0.0],[245.0],[0.0]
