county,week,week number,Examination Gloves,Lab Supplies,Viral Testing Media,Test Kits,Swabs,Surgical or Examination Gowns,Medical Equipment,Wipes,Surgical Masks,Cloth Masks,Shoe Covers,Other / None of the above,Face Shields (Disposable),N-95 Respirators,Hand Sanitizers,Cleaning Supplies,Sample Collecting Kits,Coveralls (Hospitals or EMS),Pharmaceuticals,Goggles,Body Bags,KN95 Respirators,Ventilators,Personnel,Beds/Cots,Lab Kit,Lab Platform,Bedding Accessories,Fit Testing Supplies
['Inyo'],2020-12-05 to 2020-12-11,1,[3730960.0],[52500.0],[17150.0],[21350.0],[119700.0],[35924.0],[11508.0],[642400.0],[3279500.0],[851340.0],[28000.0],[5390.0],[171192.0],[566160.0],[83524.0],[756.0],[7700.0],[10087.0],[100800.0],[2100.0],[1050.0],[66920.0],[70.0],[21.0],[364.0],[0.0],[0.0],[0.0],[0.0]
['Yolo'],2020-12-05 to 2020-12-11,1,[7713160.0],[7056.0],[88256.0],[93440.0],[147000.0],[552846.0],[0.0],[456960.0],[4674000.0],[2196740.0],[42000.0],[15925.0],[228060.0],[1685880.0],[259847.0],[0.0],[21000.0],[28063.0],[259.0],[14700.0],[0.0],[334040.0],[0.0],[217.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Modoc'],2020-12-05 to 2020-12-11,1,[392000.0],[0.0],[53998.0],[49280.0],[71400.0],[91700.0],[0.0],[0.0],[1317400.0],[43120.0],[0.0],[143052.0],[19600.0],[112840.0],[21924.0],[0.0],[1750.0],[0.0],[0.0],[0.0],[0.0],[8820.0],[14.0],[35.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Humboldt'],2020-12-05 to 2020-12-11,1,[9262960.0],[0.0],[551236.0],[95200.0],[701400.0],[1006100.0],[31486.0],[50400.0],[13151200.0],[387940.0],[5250.0],[792197.0],[209936.0],[1822240.0],[215432.0],[0.0],[441700.0],[0.0],[0.0],[10500.0],[0.0],[134960.0],[35.0],[0.0],[1456.0],[0.0],[0.0],[0.0],[12.0]
['Ventura'],2020-12-05 to 2020-12-11,1,[15280300.0],[0.0],[874328.0],[107520.0],[1582000.0],[2785950.0],[86520.0],[1170400.0],[58634450.0],[1782620.0],[0.0],[26292.0],[2286200.0],[15147720.0],[439509.0],[0.0],[797650.0],[35280.0],[5635.0],[46900.0],[0.0],[371140.0],[0.0],[0.0],[336.0],[0.0],[0.0],[0.0],[295.0]
['Tuolumne'],2020-12-05 to 2020-12-11,1,[3150000.0],[0.0],[42000.0],[70150.0],[154000.0],[219660.0],[0.0],[20160.0],[13367900.0],[84840.0],[0.0],[0.0],[185360.0],[1317064.0],[82425.0],[0.0],[28000.0],[350.0],[2212.0],[3500.0],[0.0],[114660.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Santa Cruz'],2020-12-05 to 2020-12-11,1,[13513080.0],[71652.0],[293034.0],[192640.0],[456400.0],[2492700.0],[1414.0],[266000.0],[12684000.0],[588840.0],[476000.0],[29890.0],[629244.0],[7243145.0],[744520.0],[5600.0],[164500.0],[37800.0],[497.0],[34720.0],[0.0],[85820.0],[0.0],[651.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Solano'],2020-12-05 to 2020-12-11,1,[13498520.0],[93800.0],[351786.0],[277760.0],[693700.0],[594096.0],[7364.0],[33600.0],[8401400.0],[399420.0],[5250.0],[88306.0],[542038.0],[3548860.0],[173796.0],[0.0],[0.0],[33250.0],[3052.0],[70700.0],[0.0],[4200.0],[0.0],[0.0],[0.0],[45500.0],[0.0],[0.0],[0.0]
['Siskiyou'],2020-12-05 to 2020-12-11,1,[1099000.0],[0.0],[44142.0],[159320.0],[197407.0],[77784.0],[350.0],[7000.0],[4053000.0],[273000.0],[0.0],[0.0],[7224.0],[847560.0],[33292.0],[0.0],[73500.0],[0.0],[140.0],[0.0],[0.0],[70000.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Del Norte'],2020-12-05 to 2020-12-11,1,[7309400.0],[0.0],[355005.0],[88235.0],[358400.0],[343952.0],[0.0],[840672.0],[9808400.0],[339220.0],[28000.0],[211204.0],[72100.0],[1456210.0],[172060.0],[42.0],[322350.0],[10500.0],[0.0],[8400.0],[0.0],[190820.0],[0.0],[42.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Plumas'],2020-12-05 to 2020-12-11,1,[280000.0],[0.0],[19600.0],[4480.0],[70000.0],[18200.0],[0.0],[37800.0],[575400.0],[80500.0],[0.0],[14938.0],[21112.0],[88200.0],[16156.0],[0.0],[0.0],[2814.0],[14.0],[5600.0],[0.0],[0.0],[168.0],[0.0],[0.0],[0.0],[0.0],[0.0],[84.0]
['Tehama'],2020-12-05 to 2020-12-11,1,[206360.0],[0.0],[700.0],[136920.0],[3500.0],[33600.0],[0.0],[44800.0],[2578800.0],[35000.0],[0.0],[54866.0],[23800.0],[331240.0],[18396.0],[0.0],[12600.0],[0.0],[7.0],[1400.0],[0.0],[0.0],[0.0],[84.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Madera'],2020-12-05 to 2020-12-11,1,[1099000.0],[0.0],[210812.0],[253760.0],[385000.0],[427000.0],[7070.0],[78400.0],[3298400.0],[773500.0],[140000.0],[451528.0],[537236.0],[3443160.0],[762132.0],[0.0],[84000.0],[0.0],[581.0],[7350.0],[0.0],[97860.0],[21.0],[54.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Sonoma'],2020-12-05 to 2020-12-11,1,[5867400.0],[0.0],[1142519.0],[284480.0],[1393000.0],[738520.0],[28.0],[250656.0],[14379400.0],[2231740.0],[0.0],[1148056.0],[576800.0],[6014860.0],[261618.0],[0.0],[890400.0],[106330.0],[945.0],[76300.0],[0.0],[222180.0],[0.0],[217.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Mono'],2020-12-05 to 2020-12-11,1,[1375500.0],[0.0],[48650.0],[71120.0],[140007.0],[65058.0],[0.0],[60200.0],[900200.0],[38500.0],[33250.0],[70700.0],[32676.0],[318220.0],[75334.0],[84.0],[0.0],[378.0],[0.0],[10500.0],[0.0],[42280.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Lassen'],2020-12-05 to 2020-12-11,1,[413000.0],[0.0],[35280.0],[35840.0],[35035.0],[55370.0],[350.0],[280000.0],[3199000.0],[113400.0],[0.0],[0.0],[16884.0],[2912280.0],[49140.0],[0.0],[36400.0],[0.0],[100800.0],[0.0],[0.0],[88200.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
