county,week,week number,Other / None of the above,Coveralls (Hospitals or EMS),Examination Gloves,Surgical Masks,Surgical or Examination Gowns,Hand Sanitizers,Wipes,Goggles,Face Shields (Disposable),N-95 Respirators,Swabs,Pharmaceuticals,Viral Testing Media,Test Kits,Shoe Covers,Body Bags,Personnel,Cloth Masks,Sample Collecting Kits,Cleaning Supplies,Beds/Cots,KN95 Respirators,Medical Equipment,Lab Supplies,Ventilators,Lab Kit,Lab Platform,Bedding Accessories,Fit Testing Supplies
['Lassen'],2020-11-28 to 2020-12-04,26,[0.0],[0.0],[413000.0],[3199000.0],[55370.0],[49140.0],[280000.0],[0.0],[16884.0],[2912280.0],[35035.0],[100800.0],[35280.0],[30080.0],[0.0],[0.0],[0.0],[113400.0],[36400.0],[0.0],[0.0],[88200.0],[350.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Mendocino'],2020-11-28 to 2020-12-04,26,[1050.0],[0.0],[2884000.0],[4307000.0],[507360.0],[112186.0],[0.0],[19600.0],[232400.0],[1197520.0],[137200.0],[448.0],[78897.0],[76160.0],[0.0],[0.0],[84.0],[541590.0],[54152.0],[140000.0],[301.0],[14000.0],[0.0],[16548.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Trinity'],2020-11-28 to 2020-12-04,26,[18200.0],[126.0],[1631000.0],[483560.0],[87178.0],[2492.0],[25200.0],[0.0],[28560.0],[219884.0],[35707.0],[0.0],[20650.0],[9600.0],[0.0],[0.0],[0.0],[38500.0],[17500.0],[0.0],[0.0],[8820.0],[0.0],[7000.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Mariposa'],2020-11-28 to 2020-12-04,26,[14700.0],[0.0],[987000.0],[865200.0],[11592.0],[77252.0],[29400.0],[0.0],[20440.0],[107520.0],[49000.0],[100800.0],[19712.0],[17920.0],[7000.0],[0.0],[0.0],[31500.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Amador'],2020-11-28 to 2020-12-04,26,[10332.0],[7000.0],[924000.0],[1288000.0],[188300.0],[44436.0],[0.0],[70000.0],[103376.0],[1364720.0],[98007.0],[0.0],[33712.0],[40901.0],[0.0],[0.0],[0.0],[119000.0],[7000.0],[210.0],[0.0],[44100.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Tuolumne'],2020-11-28 to 2020-12-04,26,[0.0],[350.0],[3150000.0],[13367900.0],[219660.0],[82425.0],[20160.0],[3500.0],[185360.0],[1317064.0],[154000.0],[2212.0],[42000.0],[65030.0],[0.0],[0.0],[0.0],[84840.0],[28000.0],[0.0],[0.0],[114660.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Calaveras'],2020-11-28 to 2020-12-04,26,[106400.0],[0.0],[494200.0],[70000.0],[78050.0],[36680.0],[93800.0],[4900.0],[35910.0],[223384.0],[77007.0],[70.0],[56000.0],[37120.0],[0.0],[0.0],[0.0],[105000.0],[33950.0],[0.0],[0.0],[36680.0],[700.0],[35000.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Inyo'],2020-11-28 to 2020-12-04,26,[5390.0],[10087.0],[3641960.0],[3279500.0],[35924.0],[83524.0],[638400.0],[2100.0],[171192.0],[566160.0],[119700.0],[100800.0],[17150.0],[13670.0],[28000.0],[1050.0],[9.0],[851340.0],[7700.0],[756.0],[364.0],[66920.0],[11508.0],[52500.0],[70.0],[0.0],[0.0],[0.0],[0.0]
['El Dorado'],2020-11-28 to 2020-12-04,26,[126700.0],[1750.0],[8239000.0],[2479400.0],[100520.0],[48356.0],[26880.0],[20300.0],[33096.0],[255780.0],[49000.0],[0.0],[26600.0],[137600.0],[14000.0],[0.0],[48.0],[302540.0],[60900.0],[0.0],[0.0],[88760.0],[350.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
['Alpine'],2020-11-28 to 2020-12-04,26,[252.0],[700.0],[41160.0],[42000.0],[350.0],[4494.0],[0.0],[0.0],[3500.0],[1400.0],[0.0],[0.0],[5600.0],[7000.0],[0.0],[0.0],[0.0],[0.0],[700.0],[0.0],[0.0],[8820.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0],[0.0]
